Food Name,Cuisine,Calories,Carbohydrates,Protein,Fat,Diet,Allergens,Meal Type,Preparation Time,Ingredients
Natu Kodi Pulusu with Roti,South Indian,430,15,36,17,Non-Vegetarian,None,Lunch,55,"Country Chicken, Tamarind, Spices"
Kori Gassi with Roti,South Indian,460,12,38,19,Non-Vegetarian,None,Lunch,60,"Chicken, Coconut, Red Chilies, Spices"
Mutton Pepper Fry,South Indian,490,10,42,21,Non-Vegetarian,None,Snack ,65,"Mutton, Black Pepper, Garlic, Curry Leaves"
Chettinad Mutton Curry with Roti,South Indian,500,18,45,23,Non-Vegetarian,None,Lunch,70,"Mutton, Chettinad Masala, Spices"
Kerala Duck Roast,South Indian,510,15,43,24,Non-Vegetarian,None,Lunch,75,"Duck, Spices, Coconut Oil, Curry Leaves"
Meen Kuzhambu with Roti,South Indian,420,7,37,15,Non-Vegetarian,Fish,Lunch,50,"Fish, Tamarind, Mustard Seeds, Spices"
Prawn Thokku with Roti,South Indian,440,10,39,18,Non-Vegetarian,Shellfish,Lunch,55,"Prawns, Tomato, Spices, Curry Leaves"
Goan Prawn Curry with Roti,West Indian,450,12,40,15,Non-Vegetarian,Shellfish,Lunch,50,"Prawns, Coconut, Spices"
Mutton Kolhapuri with Roti,West Indian,500,18,45,20,Non-Vegetarian,None,Lunch,60,"Mutton, Red Chilies, Spices"
Goan Fish Caldine with Roti,West Indian,420,10,38,14,Non-Vegetarian,Fish,Lunch,55,"Fish, Coconut Milk, Turmeric"
Malvani Mutton Curry with Roti,West Indian,480,15,42,18,Non-Vegetarian,None,Lunch,65,"Mutton, Malvani Spices, Coconut"
Prawn Sukka,West Indian,430,11,39,16,Non-Vegetarian,Shellfish,Snack,50,"Prawns, Coconut, Spices"
Rassa Chicken with Roti,West Indian,460,14,41,17,Non-Vegetarian,None,Lunch,55,"Chicken, Kolhapuri Spices, Tomato"
Tambda Rassa with Roti,West Indian,470,13,43,19,Non-Vegetarian,None,Lunch,60,"Mutton, Red Chili, Garlic"
Surmai Curry with Roti,West Indian,440,10,38,15,Non-Vegetarian,Fish,Lunch,55,"Kingfish, Coconut, Tamarind"
Vindaloo Chicken with Roti,West Indian,490,16,44,21,Non-Vegetarian,None,Lunch,65,"Chicken, Vinegar, Spices"
Bharli Machi With Rice,West Indian,460,12,40,18,Non-Vegetarian,Fish,Lunch,60,"Fish, Spices, Coconut"
Macher Kalia With Roti,East Indian,450,20,38,18,Non-Vegetarian,Fish,Lunch,60,"Fish, Tomatoes, Spices, Mustard Oil"
Kosha Mangsho With Roti,East Indian,500,15,45,22,Non-Vegetarian,None,Lunch,75,"Mutton, Onions, Spices, Mustard Oil"
Chingri Malai Curry with Roti,East Indian,400,10,35,16,Non-Vegetarian,Shellfish,Lunch,55,"Prawns, Coconut Milk, Spices"
Ilish Paturi With Roti,East Indian,380,8,30,15,Non-Vegetarian,Fish,Lunch,50,"Hilsa Fish, Banana Leaf, Mustard Paste"
Smoked Pork Curry with Roti,East Indian,470,12,40,20,Non-Vegetarian,Pork,Lunch,65,"Smoked Pork, Ginger, Bamboo Shoots, Spices"
Duck Meat Curry with Roti,East Indian,520,18,48,25,Non-Vegetarian,None,Lunch,80,"Duck Meat, Potatoes, Spices"
Fish Tenga with Rice ,East Indian,300,6,25,10,Non-Vegetarian,Fish,Lunch,40,"Fish, Tomatoes, Lemon, Spices"
Pork with Bamboo Shoots,East Indian,480,14,42,22,Non-Vegetarian,Pork,Lunch,70,"Pork, Bamboo Shoots, Chili, Spices"
Dohneiiong With Roti,East Indian,490,13,44,23,Non-Vegetarian,Pork,Lunch,75,"Pork, Black Sesame Seeds, Spices"
Rogan Josh with Roti,North Indian,450,12,38,20,Non-Vegetarian,None,Lunch,80,"Mutton, Yogurt, Kashmiri Spices"
Butter Chicken with Naan,North Indian,490,14,35,22,Non-Vegetarian,Dairy,Lunch,70,"Chicken, Butter, Cream, Tomatoes, Spices"
Bhuna Gosht With Naan ,North Indian,460,10,37,21,Non-Vegetarian,None,Lunch,75,"Mutton, Spices, Onions, Tomatoes"
Mughlai Chicken with Roti,North Indian,480,15,34,23,Non-Vegetarian,"Nuts, Dairy",Lunch,85,"Chicken, Cashews, Cream, Spices"
Keema Mattar with Pav,North Indian,420,20,33,19,Non-Vegetarian,None,Lunch,60,"Minced Mutton, Green Peas, Spices"
Pindi Chole with Mutton,North Indian,430,18,30,18,Non-Vegetarian,None,Lunch,65,"Mutton, Chickpeas, Spices, Tomatoes"
Nihari with Roti,North Indian,500,8,40,25,Non-Vegetarian,None,Lunch,90,"Mutton, Bone Marrow, Spices"
Rara Chicken with Roti,North Indian,470,16,36,22,Non-Vegetarian,None,Lunch,75,"Chicken, Minced Mutton, Spices, Tomatoes"
Laal Maas with Roti,North Indian,480,10,39,24,Non-Vegetarian,None,Lunch,85,"Mutton, Red Chilies, Yogurt, Spices"
Biryani Awadhi,North Indian,600,75,42,26,Non-Vegetarian,Dairy,Lunch,95,"Basmati Rice, Mutton, Saffron, Spices"
Dosa,South Indian,300,60,5,3,Vegetarian,None,Breakfast,25,"Rice, Urad Dal, Oil, Salt"
Uttapam,South Indian,320,55,7,4,Vegetarian,None,Breakfast,30,"Rice, Urad Dal, Vegetables, Salt"
Pongal,South Indian,350,40,9,8,Vegetarian,None,Breakfast,25,"Rice, Moong Dal, Ghee, Pepper"
Medu Vada,South Indian,270,35,8,5,Vegetarian,None,Breakfast,30,"Urad Dal, Spices, Oil"
Pesarattu,South Indian,290,50,10,2,Vegetarian,None,Breakfast,20,"Green Gram, Ginger, Spices"
Appam with Stew,South Indian,400,70,6,10,Vegetarian,Dairy,Breakfast,35,"Rice, Coconut Milk, Vegetables, Spices"
Rava Upma,South Indian,280,45,5,3,Vegetarian,None,Breakfast,20,"Semolina, Vegetables, Mustard Seeds"
Kottu Parotta,South Indian,450,55,10,12,Non-Vegetarian,Egg,Breakfast,40,"Parotta, Eggs, Curry, Spices"
Mysore Bonda,South Indian,320,40,6,6,Vegetarian,None,Breakfast,25,"Flour, Curd, Spices, Oil"
Paneer Butter Masala,West Indian,350,20,25,10,Vegetarian,Dairy,Dinner,40,"Paneer, Tomato, Cream, Spices"
Chicken Biryani,South Indian,450,60,20,15,Non-Vegetarian,None,Dinner,60,"Chicken, Rice, Spices, Yogurt"
Palak Paneer with Naan,North Indian,280,30,15,8,Vegetarian,Dairy,Dinner,35,"Spinach, Paneer, Tomato, Spices"
Rajma Chawal,North Indian,350,50,15,8,Vegetarian,None,Dinner,45,"Kidney Beans, Rice, Tomato, Spices"
Pav Bhaji,West Indian,400,50,12,15,Vegetarian,Gluten,Dinner,35,"Potatoes, Tomato, Peas, Butter, Spices"
Baingan Bharta with Roti,North Indian,180,20,5,8,Vegetarian,None,Dinner,40,"Eggplant, Tomato, Spices, Mustard Oil"
Matar Paneer With Naan,North Indian,290,30,12,10,Vegetarian,Dairy,Dinner,35,"Paneer, Peas, Tomato, Spices"
Chole Bhature,East Indian,450,60,15,20,Vegetarian,Gluten,Dinner,50,"Chickpeas, Flour, Yogurt, Spices"
Bisi Bele Bath With Roti,South Indian,350,55,10,12,Vegetarian,None,Dinner,45,"Rice, Lentils, Tamarind, Spices"
Bhindi Masala With Roti,North Indian,200,20,5,10,Vegetarian,None,Dinner,30,"Okra, Tomato, Spices, Onion"
Undhiyu ,West Indian,400,50,15,20,Vegetarian,None,Dinner,60,"Mixed Vegetables, Spices, Oil, Coconut"
Baati Chokha With Rice,West Indian,300,40,8,12,Vegetarian,Gluten,Dinner,50,"Wheat Flour, Gram Flour, Ghee, Spices"
Kadhi Pakora With Curd,North Indian,280,30,10,12,Vegetarian,"Dairy, Gluten",Dinner,45,"Yogurt, Gram Flour, Spices, Onion"
Ragi Mudde With Rice,South Indian,150,35,4,2,Vegetarian,Gluten-Free,Dinner,20,"Ragi Flour, Water, Salt"
Kootu with Rice,South Indian,250,30,10,8,Vegetarian,None,Dinner,40,"Lentils, Vegetables, Coconut, Spices"
Vatha Kuzhambu With Rice,South Indian,200,25,5,8,Vegetarian,None,Dinner,35,"Tamarind, Spices, Garlic, Mustard"
Thalassery Biryani,South Indian,450,55,18,12,Non-Vegetarian,None,Dinner,60,"Chicken, Rice, Spices, Ghee"
Rasam With Rice,South Indian,150,20,4,2,Vegetarian,None,Dinner,20,"Tamarind, Tomato, Spices, Garlic"
Puliogare With Rice,South Indian,300,40,7,10,Vegetarian,None,Dinner,35,"Rice, Tamarind, Peanuts, Spices"
Avial with Rice,South Indian,250,35,8,10,Vegetarian,None,Dinner,40,"Vegetables, Coconut, Yogurt, Spices"
Keerai Kootu with Rice,South Indian,200,25,7,6,Vegetarian,None,Dinner,30,"Spinach, Lentils, Spices, Coconut"
Aloo Methi With Roti,North Indian,250,35,6,10,Vegetarian,None,Dinner,30,"Potato, Fenugreek, Spices, Oil"
Pindi Chole with Rice,North Indian,320,40,15,12,Vegetarian,None,Dinner,50,"Chickpeas, Tomato, Spices, Ghee"
Dal Makhani With Naan,North Indian,350,40,18,15,Vegetarian,Dairy,Dinner,60,"Black Lentils, Cream, Spices, Butter"
Baingan Bharta with Roti,North Indian,180,20,5,8,Vegetarian,None,Dinner,40,"Eggplant, Tomato, Spices, Mustard Oil"
Kadhi Chawal ,North Indian,300,40,10,12,Vegetarian,"Dairy, Gluten",Dinner,45,"Yogurt, Gram Flour, Spices, Rice"
Litti Chokha,East Indian,400,50,12,18,Vegetarian,Gluten,Dinner,60,"Wheat Flour, Gram Flour, Spices, Ghee"
Macher Jhol With Rice,East Indian,300,40,18,12,Non-Vegetarian,Fish,Dinner,45,"Fish, Tomato, Mustard Oil, Spices"
Dalma with Rice,East Indian,300,35,12,8,Vegetarian,None,Dinner,40,"Lentils, Vegetables, Coconut, Spices"
Zunka Dhakri,West Indian,250,30,10,8,Vegetarian,None,Dinner,30,"Gram Flour, Onion, Spices, Mustard Seeds"
Sev Tameta With Naan,West Indian,300,35,6,10,Vegetarian,None,Dinner,25,"Tomato, Sev, Spices, Oil"
Dal Puri with Aloo sabzi,East Indian,320,45,9,12,Vegetarian,Gluten,Dinner,30,"Lentils, Flour, Spices, Oil"
Jhuri Aloo Bharta With Rice,East Indian,200,25,4,6,Vegetarian,None,Dinner,15,"Potato, Mustard Oil, Spices"
Thepla,West Indian,250,35,6,10,Vegetarian,"Gluten, Dairy",Snack ,25,"Whole Wheat Flour, Methi, Curd, Spices"
Kuzhi Paniyaram,South Indian,200,30,6,5,Vegetarian,None,Snack ,25,"Rice, Urad Dal, Spices, Curry Leaves"
